resolution,epoch,loss
8,1,23.94992309512401
8,2,22.624216218563642
8,3,22.051673377440736
8,4,21.308539280837234
8,5,21.678785638545047
16,1,23.687046335332774
16,2,20.82032061071897
16,3,17.308870640414003
16,4,16.007776331749152
16,5,14.29908062991771
32,1,21.737443334253673
32,2,15.948156105015766
32,3,14.385941749565642
32,4,12.072157670574432
32,5,11.067259231116623
64,1,17.923712335526943
64,2,11.964141266843813
64,3,10.047351061959159
64,4,8.955884537447922
64,5,8.24414559589191
128,1,16.935030563903805
128,2,10.245810358996756
128,3,8.644673196493056
128,4,7.677719084736467
128,5,6.905413613824004
8,1,23.545149346982893
8,2,22.076209829273548
8,3,21.071138186380267
8,4,20.319273917004466
8,5,18.853149331005458
8,6,18.079631832851604
8,7,18.20485326342962
8,8,16.999124023555353
8,9,16.75600153326311
8,10,16.651187061924826
16,1,23.61940687369894
16,2,19.935465006411754
16,3,16.498079493641853
16,4,14.252654195678504
16,5,13.492510047317905
16,6,12.784940207631074
16,7,12.379416269207882
16,8,10.593197380912237
16,9,9.619943186386742
16,10,8.845037209632045
24,1,22.036374462429773
24,2,15.543704465200955
24,3,13.624855604192073
24,4,12.80587583771822
24,5,13.526316607836634
24,6,11.592136274938555
24,7,11.00726177949797
24,8,8.831625281409783
24,9,7.7473407269624825
24,10,6.8641993998634545
32,1,22.029815548946235
32,2,16.560627476735547
32,3,14.568543819202619
32,4,13.654464184052564
32,5,12.070481898093766
32,6,11.131805295378648
32,7,10.53003436898474
32,8,8.116004292027686
32,9,6.749097123530439
32,10,5.871173446934501
48,1,17.713900161314417
48,2,11.911894558336247
48,3,10.358333364213733
48,4,9.352172914384441
48,5,8.71174687333405
48,6,8.166129512394862
48,7,7.751386085609821
48,8,5.538643314164471
48,9,4.271830792030827
48,10,3.397910098121925
